file_name,overlap,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,FL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,RL,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR,RR
0,0,ptrn,n_mask,n_point,n_resp,1,1_x,1_y,2,2_x,2_y,3,3_x,3_y,4,4_x,4_y,5,5_x,5_y,6,6_x,6_y,7,7_x,7_y,ptrn,n_mask,n_point,n_resp,1,1_x,1_y,2,2_x,2_y,3,3_x,3_y,4,4_x,4_y,5,5_x,5_y,6,6_x,6_y,7,7_x,7_y,ptrn,n_mask,n_point,n_resp,1,1_x,1_y,2,2_x,2_y,3,3_x,3_y,4,4_x,4_y,5,5_x,5_y,6,6_x,6_y,7,7_x,7_y,ptrn,n_mask,n_point,n_resp,1,1_x,1_y,2,2_x,2_y,3,3_x,3_y,4,4_x,4_y,5,5_x,5_y,6,6_x,6_y,7,7_x,7_y
20251209090738_B_1003578406_TR.jpg,FALSE,0,4,4,4,5.1,326,77,4.1,261,79,4.2,163,73,4.3,97,77,0,0,0,0,0,0,0,0,0,0,5,4,4,5.1,319,24,4,250,8,0,153,36,4.2,93,71,5,0,0,0,0,0,0,0,0,0,4,4,4,6.9,97,76,4.7,160,62,4.3,262,22,4.9,328,14,0,0,0,0,0,0,0,0,0,0,4,4,4,5.7,92,20,4.1,157,33,4,255,36,4.5,320,76,0,0,0,0,0,0,0,0,0
20251209090750_A_1003137389_TR.jpg,TRUE,0,5,3,3,0,309,101,3.9,217,99,4,127,112,0,0,0,3.6,0,0,0,0,0,0,0,0,0,2,1,2,5.5,308,6,0,216,115,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4.3,128,100,5.1,220,81,4.1,309,63,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,129,7,5.6,220,115,6.6,288,124,0,312,29,7.9,0,0,2.5,0,0,0,0,0
20251209090852_B_1003578410_TR.jpg,TRUE,0,4,2,4,3,337,17,0,255,48,5.8,192,128,0,84,125,5.1,0,0,2.7,0,0,0,0,0,0,3,3,3,4.8,310,98,6.3,229,19,4,142,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,118,35,6.7,143,95,5.7,215,51,2,294,55,4.9,0,0,0,0,0,0,0,0,0,4,3,3,5.3,123,126,6,215,112,5.4,296,118,0,0,0,0,0,0,0,0,0,0,0,0
20251209090950_A_1003578404_TR.jpg,FALSE,0,2,2,4,3.1,295,91,5.1,215,98,4.8,132,82,3.6,79,73,0,0,0,0,0,0,0,0,0,0,5,2,4,4,323,133,0,240,134,0,152,130,3.9,100,90,0,0,0,4.2,0,0,3.8,0,0,0,3,3,3,6.2,136,76,6.2,216,126,5.8,294,57,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6.1,59,20,6,132,117,5.7,212,82,6.1,294,92,0,0,0,0,0,0,0,0,0
20251209091020_B_1003601246_TR.jpg,TRUE,0,2,1,6,0,374,9,5.6,358,114,4.1,303,96,4.6,216,65,3.8,124,75,5.5,69,42,4.2,0,0,0,3,3,4,6.2,310,93,3.2,255,94,5,215,39,2.5,111,43,0,0,0,0,0,0,0,0,0,0,1,1,3,5.5,138,20,5.5,172,94,4.5,335,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5.2,111,40,5.1,208,59,4.3,298,119,0,0,0,0,0,0,0,0,0,0,0,0
20251209091051_A_1003578401_TR.jpg,FALSE,0,3,2,2,6.3,317,18,7,219,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,295,85,0,199,105,0,103,69,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6.9,114,30,7,205,75,0,286,29,2.4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7.3,120,91,7.3,211,77,2.6,298,102,0,0,0,0,0,0,0,0,0,0,0,0
20251209091247_A_XXXXXXXXXX_TR.jpg,FALSE,0,3,2,2,2.8,304,114,3.8,215,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3.7,311,69,4.2,219,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,123,49,3.6,213,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3.8,133,39,4.9,222,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20251209091415_B_1003578409_TR.jpg,FALSE,0,4,1,3,0,309,109,6,237,45,0,153,108,0,0,0,4.9,0,0,5.2,0,0,0,0,0,0,3,3,5,5.3,389,82,6.1,306,27,5.2,224,102,2.8,149,101,2.2,70,85,0,0,0,0,0,0,0,3,3,3,5.7,149,48,5.5,226,15,5.8,296,104,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5.6,131,99,5.4,204,85,5.1,283,81,0,0,0,0,0,0,0,0,0,0,0,0
20251209091447_A_1003578403_TR.jpg,TRUE,0,3,3,4,6.1,391,53,6,301,80,6.1,221,29,2.8,137,36,0,0,0,0,0,0,0,0,0,0,4,3,4,6.2,388,42,6.1,309,95,0,220,8,5.8,124,37,3.4,0,0,0,0,0,0,0,0,0,3,3,6,4.4,59,10,5.7,128,95,6.1,214,69,3.6,311,40,4.9,364,16,3.4,389,82,0,0,0,0,3,3,4,6.4,67,27,6.6,134,110,6.2,227,116,3.3,328,28,0,0,0,0,0,0,0,0,0
20251209091525_B_1003578405_TR.jpg,FALSE,0,3,3,0,0,317,110,0,223,111,0,120,69,0,44,38,0,0,0,0,0,0,0,0,0,0,5,3,3,5.7,297,59,0,214,116,6.4,133,111,5.8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,227,89,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,6.4,137,86,6.2,218,68,0,296,111,6.6,0,0,0,0,0,0,0,0,0,0,0
